"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","269,407","40,868","15.2%","915,596","67,959","7.4%","438,211","27,881","6.4%","505,061","66,802","13.2%","93,500","9,744","10.4%","144,303","25,760","17.9%","772,698","133,788","17.3%","286,000","23,200","8.1%","656,054","114,900","17.5%","122,125","5,379","4.4%","351,951","40,354","11.5%","802,875","70,908","8.8%","622,799","46,492","7.5%","490,485","22,068","4.5%","575,934","64,795","11.3%","499,431","83,203","16.7%","63,755","8,602","13.5%","327,057","16,479","5.0%","144,415","8,237","5.7%","541,847","59,034","10.9%","105,364","8,394","8.0%","8,728,868","944,847","10.8%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","60,661","14,053","23.2%","201,436","18,034","9.0%","97,382","8,245","8.5%","118,788","23,665","19.9%","16,835","2,681","15.9%","35,875","9,367","26.1%","190,039","46,420","24.4%","66,750","6,765","10.1%","134,280","35,621","26.5%","26,490","1,334","5.0%","80,474","13,159","16.4%","183,330","21,115","11.5%","141,240","13,970","9.9%","111,850","5,203","4.7%","135,592","27,137","20.0%","123,017","31,179","25.3%","14,343","3,338","23.3%","77,073","4,630","6.0%","31,915","2,203","6.9%","130,079","20,014","15.4%","22,983","2,728","11.9%","2,000,432","310,861","15.5%"
"        Under 5 years","16,189","4,832","29.8%","48,808","4,323","8.9%","23,829","2,394","10.0%","31,992","7,384","23.1%","4,259","826","19.4%","9,991","2,976","29.8%","52,839","15,675","29.7%","16,159","1,963","12.1%","45,762","10,809","23.6%","5,023","223","4.4%","21,151","3,998","18.9%","49,654","6,031","12.1%","32,682","4,028","12.3%","25,765","1,068","4.1%","39,149","9,988","25.5%","34,704","9,765","28.1%","3,666","1,075","29.3%","18,237","1,298","7.1%","6,896","534","7.7%","35,344","6,185","17.5%","5,024","697","13.9%","527,123","96,072","18.2%"
"        5 to 17 years","44,472","9,221","20.7%","152,628","13,711","9.0%","73,553","5,851","8.0%","86,796","16,281","18.8%","12,576","1,855","14.8%","25,884","6,391","24.7%","137,200","30,745","22.4%","50,591","4,802","9.5%","88,518","24,812","28.0%","21,467","1,111","5.2%","59,323","9,161","15.4%","133,676","15,084","11.3%","108,558","9,942","9.2%","86,085","4,135","4.8%","96,443","17,149","17.8%","88,313","21,414","24.2%","10,677","2,263","21.2%","58,836","3,332","5.7%","25,019","1,669","6.7%","94,735","13,829","14.6%","17,959","2,031","11.3%","1,473,309","214,789","14.6%"
"        Related children of householder under 18 years","60,373","13,791","22.8%","201,093","17,759","8.8%","97,025","7,907","8.1%","118,316","23,202","19.6%","16,702","2,616","15.7%","35,695","9,258","25.9%","189,537","45,928","24.2%","66,469","6,520","9.8%","133,847","35,216","26.3%","26,428","1,272","4.8%","80,208","12,902","16.1%","182,986","20,805","11.4%","140,958","13,735","9.7%","111,596","4,976","4.5%","134,951","26,547","19.7%","122,875","31,062","25.3%","14,297","3,292","23.0%","76,947","4,512","5.9%","31,764","2,090","6.6%","129,730","19,733","15.2%","22,917","2,673","11.7%","1,994,714","305,796","15.3%"
"    18 to 64 years","167,707","23,073","13.8%","571,967","38,808","6.8%","275,069","16,457","6.0%","317,664","36,399","11.5%","54,843","5,475","10.0%","88,428","14,266","16.1%","490,129","75,520","15.4%","180,502","14,270","7.9%","453,541","68,499","15.1%","76,960","3,407","4.4%","223,466","23,578","10.6%","514,120","42,344","8.2%","388,829","27,081","7.0%","306,075","13,177","4.3%","317,447","30,009","9.5%","313,371","44,745","14.3%","39,187","4,583","11.7%","206,575","9,394","4.5%","92,777","5,248","5.7%","343,533","33,163","9.7%","66,653","4,907","7.4%","5,488,843","534,403","9.7%"
"        18 to 34 years","55,651","10,076","18.1%","177,049","14,314","8.1%","89,063","6,968","7.8%","113,093","16,585","14.7%","16,403","2,032","12.4%","32,550","6,293","19.3%","173,292","34,539","19.9%","58,909","7,442","12.6%","197,711","32,752","16.6%","18,392","948","5.2%","75,416","10,803","14.3%","179,520","20,187","11.2%","116,199","11,507","9.9%","89,467","5,281","5.9%","105,256","13,813","13.1%","115,283","20,185","17.5%","12,714","1,908","15.0%","60,456","3,636","6.0%","26,050","1,963","7.5%","117,119","13,953","11.9%","19,548","1,878","9.6%","1,849,141","237,063","12.8%"
"        35 to 64 years","112,056","12,997","11.6%","394,918","24,494","6.2%","186,006","9,489","5.1%","204,571","19,814","9.7%","38,440","3,443","9.0%","55,878","7,973","14.3%","316,837","40,981","12.9%","121,593","6,828","5.6%","255,830","35,747","14.0%","58,568","2,459","4.2%","148,050","12,775","8.6%","334,600","22,157","6.6%","272,630","15,574","5.7%","216,608","7,896","3.6%","212,191","16,196","7.6%","198,088","24,560","12.4%","26,473","2,675","10.1%","146,119","5,758","3.9%","66,727","3,285","4.9%","226,414","19,210","8.5%","47,105","3,029","6.4%","3,639,702","297,340","8.2%"
"    60 years and over","59,074","5,680","9.6%","196,806","14,628","7.4%","91,965","4,465","4.9%","97,658","9,373","9.6%","30,114","2,100","7.0%","28,007","3,279","11.7%","134,072","16,765","12.5%","56,511","3,199","5.7%","100,332","15,156","15.1%","27,127","878","3.2%","69,512","5,308","7.6%","151,004","10,379","6.9%","132,413","7,538","5.7%","102,453","4,641","4.5%","159,115","10,068","6.3%","89,889","10,247","11.4%","14,546","1,037","7.1%","62,454","3,341","5.3%","29,793","1,203","4.0%","96,974","7,888","8.1%","22,653","1,380","6.1%","1,752,472","138,553","7.9%"
