"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","260,341","34,691","13.3%","920,046","61,205","6.7%","433,739","26,671","6.1%","499,985","61,187","12.2%","90,966","8,878","9.8%","139,782","23,051","16.5%","775,667","122,569","15.8%","287,224","21,340","7.4%","661,581","100,869","15.2%","121,059","5,474","4.5%","351,928","40,980","11.6%","796,788","67,683","8.5%","615,903","42,734","6.9%","486,112","23,212","4.8%","589,122","59,463","10.1%","496,049","77,841","15.7%","61,648","7,651","12.4%","326,314","16,762","5.1%","140,194","6,920","4.9%","547,480","52,015","9.5%","104,274","7,885","7.6%","8,706,202","869,081","10.0%"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","55,894","11,328","20.3%","196,656","14,492","7.4%","92,024","7,824","8.5%","114,399","19,961","17.4%","16,026","2,282","14.2%","35,411","8,557","24.2%","187,108","41,171","22.0%","63,647","5,356","8.4%","135,735","30,069","22.2%","23,847","1,174","4.9%","77,930","12,211","15.7%","179,268","19,840","11.1%","132,071","11,995","9.1%","104,862","5,399","5.1%","140,561","22,836","16.2%","119,272","29,449","24.7%","13,353","2,755","20.6%","72,356","4,409","6.1%","28,107","1,736","6.2%","128,975","17,044","13.2%","20,960","2,306","11.0%","1,938,462","272,194","14.0%"
"            Under 5 years","14,315","3,717","26.0%","48,685","3,669","7.5%","22,697","2,380","10.5%","30,562","5,894","19.3%","4,060","537","13.2%","9,359","1,952","20.9%","51,906","12,402","23.9%","15,250","1,384","9.1%","46,396","8,853","19.1%","5,035","226","4.5%","20,670","3,695","17.9%","47,752","5,648","11.8%","30,593","3,031","9.9%","24,508","1,054","4.3%","41,115","8,044","19.6%","33,882","9,177","27.1%","3,378","821","24.3%","16,903","1,303","7.7%","6,250","375","6.0%","34,601","5,071","14.7%","4,716","506","10.7%","512,633","79,739","15.6%"
"            5 to 17 years","41,579","7,611","18.3%","147,971","10,823","7.3%","69,327","5,444","7.9%","83,837","14,067","16.8%","11,966","1,745","14.6%","26,052","6,605","25.4%","135,202","28,769","21.3%","48,397","3,972","8.2%","89,339","21,216","23.7%","18,812","948","5.0%","57,260","8,516","14.9%","131,516","14,192","10.8%","101,478","8,964","8.8%","80,354","4,345","5.4%","99,446","14,792","14.9%","85,390","20,272","23.7%","9,975","1,934","19.4%","55,453","3,106","5.6%","21,857","1,361","6.2%","94,374","11,973","12.7%","16,244","1,800","11.1%","1,425,829","192,455","13.5%"
"            Related children of householder under 18 years","55,685","11,132","20.0%","196,391","14,228","7.2%","91,704","7,526","8.2%","113,968","19,530","17.1%","15,912","2,193","13.8%","35,231","8,446","24.0%","186,658","40,755","21.8%","63,368","5,077","8.0%","135,160","29,549","21.9%","23,798","1,139","4.8%","77,588","11,958","15.4%","178,827","19,429","10.9%","131,838","11,773","8.9%","104,719","5,256","5.0%","140,276","22,584","16.1%","119,009","29,216","24.5%","13,287","2,689","20.2%","72,241","4,311","6.0%","28,065","1,694","6.0%","128,737","16,880","13.1%","20,921","2,288","10.9%","1,933,383","267,653","13.8%"
"        18 to 64 years","159,032","19,463","12.2%","569,104","34,765","6.1%","269,831","15,624","5.8%","310,175","34,449","11.1%","51,666","5,162","10.0%","82,927","12,250","14.8%","485,398","68,266","14.1%","179,533","13,403","7.5%","449,333","57,454","12.8%","75,168","3,445","4.6%","220,947","24,670","11.2%","499,134","37,474","7.5%","379,562","24,025","6.3%","301,196","13,363","4.4%","317,791","28,723","9.0%","306,699","40,249","13.1%","37,288","4,096","11.0%","205,094","9,573","4.7%","89,011","4,100","4.6%","342,452","27,751","8.1%","65,249","4,379","6.7%","5,396,590","482,684","8.9%"
"            18 to 34 years","53,287","7,769","14.6%","179,061","13,298","7.4%","88,452","5,971","6.8%","110,662","14,733","13.3%","15,708","1,708","10.9%","30,426","5,014","16.5%","170,407","28,163","16.5%","59,385","6,990","11.8%","190,775","26,608","13.9%","19,876","1,117","5.6%","75,787","11,202","14.8%","167,761","17,619","10.5%","117,037","9,367","8.0%","92,251","5,654","6.1%","107,533","11,959","11.1%","113,285","16,553","14.6%","12,134","1,610","13.3%","62,155","3,626","5.8%","26,691","1,242","4.7%","116,186","11,039","9.5%","19,892","1,449","7.3%","1,828,751","202,691","11.1%"
"            35 to 64 years","105,745","11,694","11.1%","390,043","21,467","5.5%","181,379","9,653","5.3%","199,513","19,716","9.9%","35,958","3,454","9.6%","52,501","7,236","13.8%","314,991","40,103","12.7%","120,148","6,413","5.3%","258,558","30,846","11.9%","55,292","2,328","4.2%","145,160","13,468","9.3%","331,373","19,855","6.0%","262,525","14,658","5.6%","208,945","7,709","3.7%","210,258","16,764","8.0%","193,414","23,696","12.3%","25,154","2,486","9.9%","142,939","5,947","4.2%","62,320","2,858","4.6%","226,266","16,712","7.4%","45,357","2,930","6.5%","3,567,839","279,993","7.8%"
"        60 years and over","63,650","5,747","9.0%","214,644","15,229","7.1%","100,640","5,003","5.0%","106,715","9,851","9.2%","31,949","2,095","6.6%","29,801","3,220","10.8%","148,152","19,177","12.9%","63,908","3,794","5.9%","111,072","17,529","15.8%","32,027","1,248","3.9%","75,420","6,293","8.3%","167,727","13,407","8.0%","148,125","9,500","6.4%","113,253","5,742","5.1%","170,293","11,342","6.7%","99,936","11,289","11.3%","15,793","1,243","7.9%","69,612","3,871","5.6%","33,896","1,520","4.5%","108,254","10,012","9.2%","25,648","1,638","6.4%","1,930,515","158,750","8.2%"
"        65 years and over","45,415","3,900","8.6%","154,286","11,948","7.7%","71,884","3,223","4.5%","75,411","6,777","9.0%","23,274","1,434","6.2%","21,444","2,244","10.5%","103,161","13,132","12.7%","44,044","2,581","5.9%","76,513","13,346","17.4%","22,044","855","3.9%","53,051","4,099","7.7%","118,386","10,369","8.8%","104,270","6,714","6.4%","80,054","4,450","5.6%","130,770","7,904","6.0%","70,078","8,143","11.6%","11,007","800","7.3%","48,864","2,780","5.7%","23,076","1,084","4.7%","76,053","7,220","9.5%","18,065","1,200","6.6%","1,371,150","114,203","8.3%"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","126,144","15,246","12.1%","446,627","25,996","5.8%","209,859","11,410","5.4%","240,852","26,483","11.0%","44,241","3,881","8.8%","66,959","9,939","14.8%","369,415","52,015","14.1%","139,394","9,642","6.9%","328,196","44,263","13.5%","59,201","2,522","4.3%","171,545","17,509","10.2%","390,411","29,185","7.5%","299,499","18,406","6.1%","238,846","10,368","4.3%","283,908","27,107","9.5%","241,770","34,741","14.4%","30,060","3,372","11.2%","159,147","7,704","4.8%","69,764","3,300","4.7%","266,894","22,865","8.6%","51,252","3,405","6.6%","4,233,984","379,359","9.0%"
"        Female","134,197","19,445","14.5%","473,419","35,209","7.4%","223,880","15,261","6.8%","259,133","34,704","13.4%","46,725","4,997","10.7%","72,823","13,112","18.0%","406,252","70,554","17.4%","147,830","11,698","7.9%","333,385","56,606","17.0%","61,858","2,952","4.8%","180,383","23,471","13.0%","406,377","38,498","9.5%","316,404","24,328","7.7%","247,266","12,844","5.2%","305,214","32,356","10.6%","254,279","43,100","16.9%","31,588","4,279","13.5%","167,167","9,058","5.4%","70,430","3,620","5.1%","280,586","29,150","10.4%","53,022","4,480","8.4%","4,472,218","489,722","11.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","171,041","13,849","8.1%","658,745","40,477","6.1%","315,114","15,384","4.9%","318,253","23,143","7.3%","83,320","7,580","9.1%","99,109","13,549","13.7%","333,113","32,749","9.8%","234,491","13,176","5.6%","361,691","52,456","14.5%","111,498","4,716","4.2%","221,639","20,710","9.3%","463,411","39,762","8.6%","507,745","29,003","5.7%","396,958","17,921","4.5%","535,832","51,849","9.7%","317,371","39,869","12.6%","49,459","4,291","8.7%","216,090","8,385","3.9%","130,168","6,213","4.8%","300,814","20,147","6.7%","92,476","5,799","6.3%","5,918,338","461,028","7.8%"
"        Black or African American alone","37,554","9,423","25.1%","53,900","5,152","9.6%","70,207","6,642","9.5%","95,302","17,316","18.2%","3,950","664","16.8%","24,181","6,590","27.3%","307,000","64,969","21.2%","28,878","3,920","13.6%","79,113","16,356","20.7%","1,442","337","23.4%","72,685","14,390","19.8%","79,689","8,889","11.2%","43,663","6,997","16.0%","16,012","1,773","11.1%","17,983","2,704","15.0%","54,438","12,188","22.4%","8,103","2,083","25.7%","31,402","3,088","9.8%","3,145","356","11.3%","115,455","14,209","12.3%","4,538","954","21.0%","1,148,640","199,000","17.3%"
"        American Indian and Alaska Native alone","1,078","423","39.2%","1,735","232","13.4%","573","38","6.6%","1,057","480","45.4%","11","0","0.0%","1,140","171","15.0%","1,740","264","15.2%","299","0","0.0%","2,648","384","14.5%","88","9","10.2%","617","59","9.6%","1,863","53","2.8%","941","58","6.2%","697","111","15.9%","396","78","19.7%","1,486","811","54.6%","179","15","8.4%","886","0","0.0%","37","5","13.5%","1,663","104","6.3%","158","3","1.9%","19,292","3,298","17.1%"
"        Asian alone","20,829","3,549","17.0%","151,142","8,949","5.9%","22,361","1,423","6.4%","28,942","3,438","11.9%","858","52","6.1%","2,084","104","5.0%","41,073","2,826","6.9%","8,898","511","5.7%","101,403","10,921","10.8%","5,143","176","3.4%","38,826","2,253","5.8%","190,432","10,993","5.8%","33,395","1,296","3.9%","50,282","1,545","3.1%","11,015","945","8.6%","25,834","2,492","9.6%","631","62","9.8%","58,253","2,301","4.0%","2,961","124","4.2%","28,018","1,479","5.3%","2,760","161","5.8%","825,140","55,600","6.7%"
"        Native Hawaiian and Other Pacific Islander alone","140","72","51.4%","342","3","0.9%","277","64","23.1%","209","45","21.5%","21","0","0.0%","15","0","0.0%","241","63","26.1%","64","0","0.0%","593","146","24.6%","47","0","0.0%","134","53","39.6%","263","20","7.6%","260","94","36.2%","96","12","12.5%","263","210","79.8%","164","37","22.6%","31","0","0.0%","33","0","0.0%","38","0","0.0%","78","18","23.1%","2","0","0.0%","3,311","837","25.3%"
"        Some other race alone","20,175","5,693","28.2%","29,736","4,409","14.8%","8,470","1,017","12.0%","40,342","14,677","36.4%","1,007","271","26.9%","7,430","1,706","23.0%","71,516","18,723","26.2%","5,376","1,243","23.1%","91,260","16,848","18.5%","1,042","212","20.3%","10,654","2,408","22.6%","37,218","5,644","15.2%","17,531","3,778","21.6%","11,205","1,339","12.0%","13,522","2,162","16.0%","83,338","19,875","23.8%","1,235","469","38.0%","12,158","2,268","18.7%","1,346","118","8.8%","85,829","14,526","16.9%","1,857","504","27.1%","552,247","117,890","21.3%"
"        Two or more races","9,524","1,682","17.7%","24,446","1,983","8.1%","16,737","2,103","12.6%","15,880","2,088","13.1%","1,799","311","17.3%","5,823","931","16.0%","20,984","2,975","14.2%","9,218","2,490","27.0%","24,873","3,758","15.1%","1,799","24","1.3%","7,373","1,107","15.0%","23,912","2,322","9.7%","12,368","1,508","12.2%","10,862","511","4.7%","10,111","1,515","15.0%","13,418","2,569","19.1%","2,010","731","36.4%","7,492","720","9.6%","2,499","104","4.2%","15,623","1,532","9.8%","2,483","464","18.7%","239,234","31,428","13.1%"
"        Hispanic or Latino origin (of any race)","49,187","11,839","24.1%","183,203","21,317","11.6%","33,807","3,477","10.3%","84,266","23,186","27.5%","6,926","1,874","27.1%","43,995","10,964","24.9%","180,055","39,167","21.8%","17,647","3,164","17.9%","285,409","54,163","19.0%","7,466","907","12.1%","62,750","13,616","21.7%","171,517","26,370","15.4%","66,489","10,613","16.0%","64,790","5,786","8.9%","54,172","7,350","13.6%","207,263","48,603","23.4%","5,550","1,554","28.0%","47,918","4,640","9.7%","11,522","917","8.0%","173,423","24,844","14.3%","9,649","1,551","16.1%","1,767,004","315,902","17.9%"
"        White alone, not Hispanic or Latino","146,799","9,263","6.3%","520,235","24,806","4.8%","295,781","14,194","4.8%","283,701","17,475","6.2%","77,747","6,009","7.7%","66,825","5,265","7.9%","236,761","14,368","6.1%","226,018","12,376","5.5%","190,148","19,058","10.0%","105,462","4,052","3.8%","174,327","10,390","6.0%","343,917","20,885","6.1%","463,825","22,895","4.9%","347,500","13,913","4.0%","499,127","47,287","9.5%","204,636","13,947","6.8%","45,856","3,414","7.4%","183,411","5,979","3.3%","121,023","5,476","4.5%","216,213","9,628","4.5%","85,347","5,006","5.9%","4,834,659","285,686","5.9%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","182,585","19,716","10.8%","650,857","40,528","6.2%","306,161","16,067","5.2%","344,002","35,320","10.3%","68,579","5,797","8.5%","92,476","12,677","13.7%","523,725","68,792","13.1%","199,889","12,202","6.1%","474,028","59,346","12.5%","87,616","3,694","4.2%","242,469","23,196","9.6%","559,737","38,740","6.9%","432,777","26,641","6.2%","342,041","14,889","4.4%","405,425","31,788","7.8%","330,965","41,006","12.4%","43,124","4,277","9.9%","227,424","10,254","4.5%","100,276","4,649","4.6%","372,712","30,638","8.2%","74,898","5,019","6.7%","6,061,766","505,236","8.3%"
"            Less than high school graduate","23,370","6,079","26.0%","47,672","8,265","17.3%","17,943","2,769","15.4%","38,009","10,869","28.6%","4,975","1,069","21.5%","18,574","5,206","28.0%","71,351","20,136","28.2%","14,059","2,851","20.3%","70,999","17,955","25.3%","4,180","569","13.6%","27,023","7,555","28.0%","57,032","10,541","18.5%","27,928","5,005","17.9%","18,393","2,324","12.6%","31,630","5,249","16.6%","53,530","14,767","27.6%","4,654","958","20.6%","12,132","1,354","11.2%","5,009","645","12.9%","50,221","8,586","17.1%","6,245","1,110","17.8%","604,929","133,862","22.1%"
"            High school graduate (includes equivalency)","58,068","7,126","12.3%","146,772","14,160","9.6%","84,643","5,730","6.8%","100,809","11,685","11.6%","21,840","2,359","10.8%","35,501","4,466","12.6%","144,314","26,886","18.6%","63,791","5,063","7.9%","118,312","19,547","16.5%","18,214","1,362","7.5%","58,798","7,989","13.6%","138,157","12,843","9.3%","100,541","9,553","9.5%","67,838","5,057","7.5%","137,475","12,056","8.8%","114,097","16,051","14.1%","16,417","2,066","12.6%","45,281","3,679","8.1%","30,494","1,837","6.0%","105,828","11,853","11.2%","22,786","1,863","8.2%","1,629,976","183,231","11.2%"
"            Some college, associate's degree","49,391","4,308","8.7%","133,517","7,673","5.7%","84,887","5,204","6.1%","92,429","8,492","9.2%","19,042","1,631","8.6%","22,761","2,157","9.5%","119,442","13,781","11.5%","55,806","2,762","4.9%","82,742","9,887","11.9%","18,526","911","4.9%","51,957","4,075","7.8%","118,174","7,199","6.1%","104,157","6,222","6.0%","69,674","3,584","5.1%","114,062","8,434","7.4%","69,636","6,477","9.3%","12,827","1,004","7.8%","44,662","2,594","5.8%","28,369","1,244","4.4%","81,583","6,054","7.4%","21,019","1,332","6.3%","1,394,663","105,025","7.5%"
"            Bachelor's degree or higher","51,756","2,203","4.3%","322,896","10,430","3.2%","118,688","2,364","2.0%","112,755","4,274","3.8%","22,722","738","3.2%","15,640","848","5.4%","188,618","7,989","4.2%","66,233","1,526","2.3%","201,975","11,957","5.9%","46,696","852","1.8%","104,691","3,577","3.4%","246,374","8,157","3.3%","200,151","5,861","2.9%","186,136","3,924","2.1%","122,258","6,049","4.9%","93,702","3,711","4.0%","9,226","249","2.7%","125,349","2,627","2.1%","36,404","923","2.5%","135,080","4,145","3.1%","24,848","714","2.9%","2,432,198","83,118","3.4%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","137,909","10,965","8.0%","498,822","16,054","3.2%","237,068","8,403","3.5%","267,285","17,050","6.4%","44,891","2,377","5.3%","66,476","5,969","9.0%","410,315","37,128","9.0%","157,371","6,799","4.3%","376,680","28,181","7.5%","69,560","1,689","2.4%","187,665","11,201","6.0%","427,660","18,997","4.4%","334,815","12,469","3.7%","271,633","7,725","2.8%","274,211","14,445","5.3%","253,235","17,228","6.8%","31,202","1,799","5.8%","182,090","5,611","3.1%","79,850","2,194","2.7%","298,466","15,271","5.1%","58,460","2,633","4.5%","4,665,664","244,188","5.2%"
"            Employed","126,363","7,596","6.0%","478,785","13,193","2.8%","223,474","5,791","2.6%","249,560","12,044","4.8%","41,841","1,657","4.0%","61,596","4,584","7.4%","377,226","25,730","6.8%","148,646","4,986","3.4%","356,965","23,260","6.5%","66,913","1,345","2.0%","176,429","8,353","4.7%","405,533","15,487","3.8%","318,303","9,545","3.0%","259,941","6,172","2.4%","260,172","11,703","4.5%","241,967","14,494","6.0%","29,324","1,255","4.3%","173,695","4,335","2.5%","75,772","1,679","2.2%","281,399","11,499","4.1%","55,036","2,194","4.0%","4,408,940","186,902","4.2%"
"                Male","64,435","3,308","5.1%","253,975","6,078","2.4%","114,622","2,168","1.9%","126,384","4,833","3.8%","21,705","604","2.8%","31,297","1,793","5.7%","191,050","9,725","5.1%","76,236","2,211","2.9%","195,279","11,158","5.7%","34,698","530","1.5%","92,785","3,767","4.1%","219,935","6,967","3.2%","168,757","4,315","2.6%","138,971","2,745","2.0%","132,289","4,511","3.4%","128,437","6,777","5.3%","15,112","506","3.3%","91,584","1,960","2.1%","39,961","734","1.8%","148,782","5,831","3.9%","29,242","854","2.9%","2,315,536","81,375","3.5%"
"                Female","61,928","4,288","6.9%","224,810","7,115","3.2%","108,852","3,623","3.3%","123,176","7,211","5.9%","20,136","1,053","5.2%","30,299","2,791","9.2%","186,176","16,005","8.6%","72,410","2,775","3.8%","161,686","12,102","7.5%","32,215","815","2.5%","83,644","4,586","5.5%","185,598","8,520","4.6%","149,546","5,230","3.5%","120,970","3,427","2.8%","127,883","7,192","5.6%","113,530","7,717","6.8%","14,212","749","5.3%","82,111","2,375","2.9%","35,811","945","2.6%","132,617","5,668","4.3%","25,794","1,340","5.2%","2,093,404","105,527","5.0%"
"            Unemployed","11,546","3,369","29.2%","20,037","2,861","14.3%","13,594","2,612","19.2%","17,725","5,006","28.2%","3,050","720","23.6%","4,880","1,385","28.4%","33,089","11,398","34.4%","8,725","1,813","20.8%","19,715","4,921","25.0%","2,647","344","13.0%","11,236","2,848","25.3%","22,127","3,510","15.9%","16,512","2,924","17.7%","11,692","1,553","13.3%","14,039","2,742","19.5%","11,268","2,734","24.3%","1,878","544","29.0%","8,395","1,276","15.2%","4,078","515","12.6%","17,067","3,772","22.1%","3,424","439","12.8%","256,724","57,286","22.3%"
"                Male","6,000","1,543","25.7%","11,179","1,678","15.0%","7,413","1,362","18.4%","9,744","2,416","24.8%","1,758","279","15.9%","2,860","864","30.2%","16,393","4,989","30.4%","4,788","1,004","21.0%","9,407","2,256","24.0%","1,432","179","12.5%","6,203","1,487","24.0%","11,345","1,820","16.0%","8,893","1,501","16.9%","6,161","756","12.3%","7,718","1,413","18.3%","6,056","1,371","22.6%","903","176","19.5%","4,333","461","10.6%","2,220","242","10.9%","8,999","1,734","19.3%","1,894","191","10.1%","135,699","27,722","20.4%"
"                Female","5,546","1,826","32.9%","8,858","1,183","13.4%","6,181","1,250","20.2%","7,981","2,590","32.5%","1,292","441","34.1%","2,020","521","25.8%","16,696","6,409","38.4%","3,937","809","20.5%","10,308","2,665","25.9%","1,215","165","13.6%","5,033","1,361","27.0%","10,782","1,690","15.7%","7,619","1,423","18.7%","5,531","797","14.4%","6,321","1,329","21.0%","5,212","1,363","26.2%","975","368","37.7%","4,062","815","20.1%","1,858","273","14.7%","8,068","2,038","25.3%","1,530","248","16.2%","121,025","29,564","24.4%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","211,252","24,478","11.6%","748,081","48,490","6.5%","353,045","19,819","5.6%","398,820","43,231","10.8%","76,988","6,849","8.9%","108,234","15,417","14.2%","608,455","85,675","14.1%","231,418","16,546","7.1%","538,582","73,853","13.7%","100,611","4,506","4.5%","283,219","29,891","10.6%","638,242","49,796","7.8%","501,731","31,873","6.4%","395,272","18,650","4.7%","463,425","38,331","8.3%","389,767","51,040","13.1%","50,008","5,088","10.2%","263,306","12,737","4.8%","116,104","5,461","4.7%","433,037","36,545","8.4%","86,226","5,824","6.8%","6,995,823","624,100","8.9%"
