"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","268,775","40,852","15.2%","910,008","68,104","7.5%","437,930","25,205","5.8%","505,676","66,176","13.1%","94,168","10,483","11.1%","145,322","26,192","18.0%","770,490","132,420","17.2%","285,180","22,707","8.0%","648,311","112,585","17.4%","121,928","5,065","4.2%","351,231","41,005","11.7%","798,342","68,181","8.5%","622,963","45,810","7.4%","489,250","22,788","4.7%","573,967","63,748","11.1%","497,282","81,751","16.4%","64,276","8,693","13.5%","325,271","16,697","5.1%","145,284","8,337","5.7%","538,151","59,523","11.1%","105,761","8,343","7.9%","8,699,566","934,665","10.7%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","61,346","13,910","22.7%","202,316","17,853","8.8%","99,052","7,314","7.4%","120,504","23,766","19.7%","17,286","3,039","17.6%","36,343","9,588","26.4%","190,802","46,188","24.2%","67,486","6,733","10.0%","133,194","35,265","26.5%","27,335","1,430","5.2%","81,200","13,735","16.9%","183,053","20,337","11.1%","143,373","13,942","9.7%","113,219","5,298","4.7%","135,131","26,967","20.0%","123,144","30,773","25.0%","14,623","3,471","23.7%","78,037","4,775","6.1%","32,906","2,433","7.4%","129,840","20,483","15.8%","23,662","2,604","11.0%","2,013,852","309,904","15.4%"
"        Related children under 18 years","61,000","13,599","22.3%","201,942","17,556","8.7%","98,649","6,929","7.0%","120,118","23,408","19.5%","17,160","2,968","17.3%","36,229","9,497","26.2%","190,218","45,634","24.0%","67,168","6,439","9.6%","132,713","34,808","26.2%","27,295","1,390","5.1%","80,977","13,519","16.7%","182,706","20,023","11.0%","142,988","13,603","9.5%","112,902","5,006","4.4%","134,377","26,238","19.5%","122,959","30,604","24.9%","14,573","3,421","23.5%","77,925","4,671","6.0%","32,784","2,338","7.1%","129,431","20,138","15.6%","23,597","2,543","10.8%","2,007,711","304,332","15.2%"
"    18 to 64 years","167,598","23,267","13.9%","568,420","39,273","6.9%","274,860","14,786","5.4%","318,247","35,925","11.3%","55,542","5,839","10.5%","89,323","14,597","16.3%","488,920","74,789","15.3%","180,390","13,893","7.7%","448,168","66,889","14.9%","76,882","3,018","3.9%","223,072","23,711","10.6%","512,889","41,554","8.1%","389,587","26,575","6.8%","305,204","14,092","4.6%","317,659","29,323","9.2%","312,643","43,612","13.9%","39,725","4,591","11.6%","205,297","9,525","4.6%","93,582","5,187","5.5%","341,103","33,519","9.8%","66,735","4,956","7.4%","5,475,846","528,921","9.7%"
"    65 years and over","39,831","3,675","9.2%","139,272","10,978","7.9%","64,018","3,105","4.9%","66,925","6,485","9.7%","21,340","1,605","7.5%","19,656","2,007","10.2%","90,768","11,443","12.6%","37,304","2,081","5.6%","66,949","10,431","15.6%","17,711","617","3.5%","46,959","3,559","7.6%","102,400","6,290","6.1%","90,003","5,293","5.9%","70,827","3,398","4.8%","121,177","7,458","6.2%","61,495","7,366","12.0%","9,928","631","6.4%","41,937","2,397","5.7%","18,796","717","3.8%","67,208","5,521","8.2%","15,364","783","5.1%","1,209,868","95,840","7.9%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","130,275","18,309","14.1%","440,282","29,325","6.7%","211,647","10,890","5.1%","243,795","28,367","11.6%","45,561","4,597","10.1%","70,336","11,896","16.9%","366,758","56,794","15.5%","138,291","9,796","7.1%","321,496","49,194","15.3%","59,765","2,089","3.5%","170,779","18,806","11.0%","390,414","30,510","7.8%","303,637","19,289","6.4%","239,395","10,017","4.2%","275,762","28,608","10.4%","242,187","36,856","15.2%","31,141","3,872","12.4%","158,569","7,304","4.6%","72,158","3,713","5.1%","261,686","25,257","9.7%","51,508","3,877","7.5%","4,225,442","409,366","9.7%"
"    Female","138,500","22,543","16.3%","469,726","38,779","8.3%","226,283","14,315","6.3%","261,881","37,809","14.4%","48,607","5,886","12.1%","74,986","14,296","19.1%","403,732","75,626","18.7%","146,889","12,911","8.8%","326,815","63,391","19.4%","62,163","2,976","4.8%","180,452","22,199","12.3%","407,928","37,671","9.2%","319,326","26,521","8.3%","249,855","12,771","5.1%","298,205","35,140","11.8%","255,095","44,895","17.6%","33,135","4,821","14.5%","166,702","9,393","5.6%","73,126","4,624","6.3%","276,465","34,266","12.4%","54,253","4,466","8.2%","4,474,124","525,299","11.7%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
