"Label","Atlantic County, New Jersey!!Total!!Estimate","Atlantic County, New Jersey!!Below poverty level!!Estimate","Atlantic County, New Jersey!!Percent below poverty level!!Estimate","Bergen County, New Jersey!!Total!!Estimate","Bergen County, New Jersey!!Below poverty level!!Estimate","Bergen County, New Jersey!!Percent below poverty level!!Estimate","Burlington County, New Jersey!!Total!!Estimate","Burlington County, New Jersey!!Below poverty level!!Estimate","Burlington County, New Jersey!!Percent below poverty level!!Estimate","Camden County, New Jersey!!Total!!Estimate","Camden County, New Jersey!!Below poverty level!!Estimate","Camden County, New Jersey!!Percent below poverty level!!Estimate","Cape May County, New Jersey!!Total!!Estimate","Cape May County, New Jersey!!Below poverty level!!Estimate","Cape May County, New Jersey!!Percent below poverty level!!Estimate","Cumberland County, New Jersey!!Total!!Estimate","Cumberland County, New Jersey!!Below poverty level!!Estimate","Cumberland County, New Jersey!!Percent below poverty level!!Estimate","Essex County, New Jersey!!Total!!Estimate","Essex County, New Jersey!!Below poverty level!!Estimate","Essex County, New Jersey!!Percent below poverty level!!Estimate","Gloucester County, New Jersey!!Total!!Estimate","Gloucester County, New Jersey!!Below poverty level!!Estimate","Gloucester County, New Jersey!!Percent below poverty level!!Estimate","Hudson County, New Jersey!!Total!!Estimate","Hudson County, New Jersey!!Below poverty level!!Estimate","Hudson County, New Jersey!!Percent below poverty level!!Estimate","Hunterdon County, New Jersey!!Total!!Estimate","Hunterdon County, New Jersey!!Below poverty level!!Estimate","Hunterdon County, New Jersey!!Percent below poverty level!!Estimate","Mercer County, New Jersey!!Total!!Estimate","Mercer County, New Jersey!!Below poverty level!!Estimate","Mercer County, New Jersey!!Percent below poverty level!!Estimate","Middlesex County, New Jersey!!Total!!Estimate","Middlesex County, New Jersey!!Below poverty level!!Estimate","Middlesex County, New Jersey!!Percent below poverty level!!Estimate","Monmouth County, New Jersey!!Total!!Estimate","Monmouth County, New Jersey!!Below poverty level!!Estimate","Monmouth County, New Jersey!!Percent below poverty level!!Estimate","Morris County, New Jersey!!Total!!Estimate","Morris County, New Jersey!!Below poverty level!!Estimate","Morris County, New Jersey!!Percent below poverty level!!Estimate","Ocean County, New Jersey!!Total!!Estimate","Ocean County, New Jersey!!Below poverty level!!Estimate","Ocean County, New Jersey!!Percent below poverty level!!Estimate","Passaic County, New Jersey!!Total!!Estimate","Passaic County, New Jersey!!Below poverty level!!Estimate","Passaic County, New Jersey!!Percent below poverty level!!Estimate","Salem County, New Jersey!!Total!!Estimate","Salem County, New Jersey!!Below poverty level!!Estimate","Salem County, New Jersey!!Percent below poverty level!!Estimate","Somerset County, New Jersey!!Total!!Estimate","Somerset County, New Jersey!!Below poverty level!!Estimate","Somerset County, New Jersey!!Percent below poverty level!!Estimate","Sussex County, New Jersey!!Total!!Estimate","Sussex County, New Jersey!!Below poverty level!!Estimate","Sussex County, New Jersey!!Percent below poverty level!!Estimate","Union County, New Jersey!!Total!!Estimate","Union County, New Jersey!!Below poverty level!!Estimate","Union County, New Jersey!!Percent below poverty level!!Estimate","Warren County, New Jersey!!Total!!Estimate","Warren County, New Jersey!!Below poverty level!!Estimate","Warren County, New Jersey!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate"
"Population for whom poverty status is determined","268,322","41,469","15.5%","919,364","69,119","7.5%","438,059","28,440","6.5%","504,177","66,882","13.3%","93,114","9,695","10.4%","142,976","26,448","18.5%","773,466","132,940","17.2%","287,071","23,257","8.1%","661,503","115,156","17.4%","121,386","5,499","4.5%","353,429","39,606","11.2%","803,009","71,749","8.9%","621,159","47,318","7.6%","490,713","22,483","4.6%","578,805","64,770","11.2%","498,951","83,738","16.8%","63,143","8,692","13.8%","328,149","16,924","5.2%","143,341","8,358","5.8%","543,614","58,464","10.8%","105,307","8,334","7.9%","8,739,058","949,341","10.9%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","59,551","15,014","25.2%","201,148","18,513","9.2%","95,875","8,414","8.8%","117,616","23,444","19.9%","16,698","2,440","14.6%","35,960","9,484","26.4%","188,642","45,618","24.2%","66,282","6,469","9.8%","136,403","35,961","26.4%","25,573","1,360","5.3%","79,827","12,491","15.6%","182,583","21,281","11.7%","138,567","14,034","10.1%","110,166","5,258","4.8%","136,412","27,045","19.8%","122,215","31,297","25.6%","14,062","3,420","24.3%","76,072","4,540","6.0%","30,782","2,186","7.1%","129,857","19,636","15.1%","22,582","2,675","11.8%","1,986,873","310,580","15.6%"
"        Under 5 years","15,888","5,335","33.6%","48,927","4,518","9.2%","23,249","2,356","10.1%","31,568","7,350","23.3%","4,311","713","16.5%","10,013","2,730","27.3%","52,057","14,474","27.8%","16,009","1,701","10.6%","46,550","10,771","23.1%","4,913","315","6.4%","21,042","3,805","18.1%","49,248","6,268","12.7%","31,779","3,707","11.7%","24,979","1,260","5.0%","39,512","9,895","25.0%","34,358","9,590","27.9%","3,510","1,002","28.5%","17,765","1,170","6.6%","6,706","522","7.8%","34,697","5,635","16.2%","5,060","637","12.6%","522,141","93,754","18.0%"
"        5 to 17 years","43,663","9,679","22.2%","152,221","13,995","9.2%","72,626","6,058","8.3%","86,048","16,094","18.7%","12,387","1,727","13.9%","25,947","6,754","26.0%","136,585","31,144","22.8%","50,273","4,768","9.5%","89,853","25,190","28.0%","20,660","1,045","5.1%","58,785","8,686","14.8%","133,335","15,013","11.3%","106,788","10,327","9.7%","85,187","3,998","4.7%","96,900","17,150","17.7%","87,857","21,707","24.7%","10,552","2,418","22.9%","58,307","3,370","5.8%","24,076","1,664","6.9%","95,160","14,001","14.7%","17,522","2,038","11.6%","1,464,732","216,826","14.8%"
"        Related children of householder under 18 years","59,206","14,697","24.8%","200,811","18,228","9.1%","95,475","8,030","8.4%","117,137","22,976","19.6%","16,570","2,370","14.3%","35,793","9,410","26.3%","188,153","45,141","24.0%","66,062","6,249","9.5%","135,895","35,495","26.1%","25,512","1,299","5.1%","79,531","12,220","15.4%","182,126","20,850","11.4%","138,250","13,767","10.0%","109,928","5,060","4.6%","135,853","26,550","19.5%","122,022","31,121","25.5%","14,017","3,375","24.1%","75,985","4,460","5.9%","30,627","2,058","6.7%","129,498","19,348","14.9%","22,502","2,606","11.6%","1,980,953","305,310","15.4%"
"    18 to 64 years","166,481","23,047","13.8%","573,106","39,007","6.8%","274,507","16,697","6.1%","316,076","36,514","11.6%","54,243","5,468","10.1%","86,541","14,701","17.0%","489,986","75,316","15.4%","180,535","14,490","8.0%","455,558","67,714","14.9%","76,464","3,464","4.5%","224,369","23,426","10.4%","511,656","42,385","8.3%","386,718","27,379","7.1%","305,910","13,265","4.3%","317,289","30,081","9.5%","312,185","44,858","14.4%","38,622","4,528","11.7%","207,053","10,051","4.9%","91,867","5,203","5.7%","344,007","33,254","9.7%","66,333","4,874","7.3%","5,479,506","535,722","9.8%"
"        18 to 34 years","55,824","10,111","18.1%","178,924","14,764","8.3%","89,612","6,679","7.5%","113,062","16,242","14.4%","16,450","2,096","12.7%","32,295","6,474","20.0%","173,538","33,730","19.4%","59,332","7,274","12.3%","197,887","31,889","16.1%","18,788","1,101","5.9%","76,756","10,792","14.1%","177,929","20,139","11.3%","117,011","11,248","9.6%","91,077","5,623","6.2%","105,989","13,553","12.8%","115,175","19,385","16.8%","12,556","1,833","14.6%","61,617","3,780","6.1%","26,332","1,880","7.1%","117,582","13,621","11.6%","19,790","1,820","9.2%","1,857,526","234,034","12.6%"
"        35 to 64 years","110,657","12,936","11.7%","394,182","24,243","6.2%","184,895","10,018","5.4%","203,014","20,272","10.0%","37,793","3,372","8.9%","54,246","8,227","15.2%","316,448","41,586","13.1%","121,203","7,216","6.0%","257,671","35,825","13.9%","57,676","2,363","4.1%","147,613","12,634","8.6%","333,727","22,246","6.7%","269,707","16,131","6.0%","214,833","7,642","3.6%","211,300","16,528","7.8%","197,010","25,473","12.9%","26,066","2,695","10.3%","145,436","6,271","4.3%","65,535","3,323","5.1%","226,425","19,633","8.7%","46,543","3,054","6.6%","3,621,980","301,688","8.3%"
"    60 years and over","60,160","5,405","9.0%","201,234","14,994","7.5%","94,191","4,674","5.0%","99,468","9,759","9.8%","30,400","2,289","7.5%","28,183","3,383","12.0%","136,970","17,287","12.6%","58,111","3,537","6.1%","101,924","16,021","15.7%","28,354","937","3.3%","71,191","5,508","7.7%","156,182","11,235","7.2%","136,108","7,982","5.9%","104,999","5,106","4.9%","161,505","10,435","6.5%","92,852","10,862","11.7%","14,662","1,090","7.4%","64,127","3,294","5.1%","30,851","1,464","4.7%","99,345","8,122","8.2%","23,004","1,335","5.8%","1,793,821","144,719","8.1%"
